Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.16493	0	0	0	LastDelay	0.164932	164932	1	5
1.16493	0	0	0	FullDelay	0.164932	164932	1	5
2.06644	0	0	8	LastDelay	0.198289	198289	1	2
2.06644	0	0	8	FullDelay	0.198289	198289	1	2
2.27189	0	0	10	LastDelay	0.209529	209529	1	5
2.27189	0	0	10	FullDelay	0.209529	209529	1	5
2.86743	0	0	6	LastDelay	0.117877	117877	1	3
2.86743	0	0	6	FullDelay	1.22709	1.22709e+06	2	3
3.08748	0	0	11	LastDelay	0.0575014	57501.4	1	5
3.08748	0	0	11	FullDelay	0.0575014	57501.4	1	5
3.17447	0	0	1	LastDelay	0.0675759	67575.9	1	3
3.17447	0	0	1	FullDelay	2.13648	2.13648e+06	4	3
3.29515	0	0	3	LastDelay	0.0973431	97343.1	1	4
3.29515	0	0	3	FullDelay	2.08379	2.08379e+06	3	4
3.37009	0	0	4	LastDelay	0.122985	122985	1	3
3.37009	0	0	4	FullDelay	2.01208	2.01208e+06	3	3
3.39519	0	0	12	LastDelay	0.121301	121301	1	3
3.39519	0	0	12	FullDelay	0.121301	121301	1	3
3.89867	0	0	14	LastDelay	0.332021	332021	1	4
3.89867	0	0	14	FullDelay	0.332021	332021	1	4
4.36488	0	0	5	LastDelay	0.2368	236800	1	3
4.36488	0	0	5	FullDelay	2.91029	2.91029e+06	4	3
4.77572	0	0	18	LastDelay	0.455578	455578	1	4
4.77572	0	0	18	FullDelay	0.455578	455578	1	4
