Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0764377	0	0	2	LastDelay	0.0407593	40759.3	1	5
0.0764377	0	0	2	FullDelay	0.0407593	40759.3	0	5
0.362206	0	0	5	LastDelay	0.108066	108066	1	6
0.362206	0	0	5	FullDelay	0.108066	108066	0	6
0.388736	0	0	7	LastDelay	0.0523761	52376.1	1	5
0.388736	0	0	7	FullDelay	0.0523761	52376.1	0	5
0.674519	0	0	9	LastDelay	0.214514	214514	1	6
0.674519	0	0	9	FullDelay	0.214514	214514	0	6
0.981216	0	0	12	LastDelay	0.154014	154014	1	5
0.981216	0	0	12	FullDelay	0.154014	154014	0	5
1.39173	0	0	14	LastDelay	0.253202	253202	1	5
1.39173	0	0	14	FullDelay	0.253202	253202	0	5
1.48972	0	0	13	LastDelay	0.476059	476059	1	5
1.48972	0	0	13	FullDelay	0.476059	476059	0	5
1.56918	0	0	15	LastDelay	0.377954	377954	1	6
1.56918	0	0	15	FullDelay	0.377954	377954	0	6
1.95573	0	0	18	LastDelay	0.331768	331768	1	6
1.95573	0	0	18	FullDelay	0.331768	331768	0	6
